col_id,col_w,col_desc,eotf,Wx,Wy,Rx,Ry,Gx,Gy,Bx,By
sRGB,D65,sRGB spec,non-linear gamma near 2.2,0.3127,0.3290,0.6400,0.3300,0.3000,0.6000,0.1500,0.0600
sRGB_D93,D93,sRGB D93,non-linear gamma near 2.2,0.28311093745916427,0.297072981780781,0.64,0.33,0.3,0.6,0.15,0.06
BT460_6,C,BT.470-6 / Brazil PAL-M / France SECAM,gamma 2.8,0.3085489296804946,0.324928102162083,0.67,0.33,0.21,0.71,0.14,0.08
BT601_525,D65,BT.601-525 NTSC,non-linear gamma near 2.2,0.3127,0.329,0.63,0.34,0.31,0.595,0.155,0.07
BT601_525_D93,D93,BT.601-525 NTSC-J,non-linear gamma 2.2,0.28311093745916427,0.297072981780781,0.63,0.34,0.31,0.595,0.155,0.07
BT601_625,D65,BT.601-625 PAL,non-linear gamma near 2.2,0.3127,0.329,0.64,0.33,0.29,0.6,0.15,0.06
BT709,D65,BT.709 HD spec,BT.1886,0.3127,0.329,0.64,0.33,0.3,0.6,0.15,0.06
BT709_D93,D93,BT.709 HD D93,BT.1886,0.28311093745916427,0.297072981780781,0.64,0.33,0.3,0.6,0.15,0.06
BT2020,D65,BT.2020 UHD spec,SDR BT.1886 / HDR PQ,0.3127,0.329,0.708,0.292,0.17,0.797,0.131,0.046
AppleRGB,D65,AppleRGB Macintosh spec,gamma 1.8,0.3127,0.329,0.625,0.34,0.28,0.595,0.155,0.07
ARIBTRB9v1,D93,ARIB TR B9 v1.0 1125/60 HDTV,non-linear gamma near 2.2,0.28311093745916427,0.297072981780781,0.67,0.33,0.21,0.71,0.14,0.08
Raney_PVM_20M2U,D93,Sony PVM 20M2U by Keith Raney,gamma 2.25,0.28311093745916427,0.297072981780781,0.63,0.345,0.285,0.605,0.15,0.065
Raney_PVM_20L2MDU,D93,Sony PVM 20L2MDU by Keith Raney,gamma 2.25,0.28311093745916427,0.297072981780781,0.625,0.345,0.28,0.605,0.15,0.065
